game_id,total_xg,total_goals,shot_count,total_xa,xg_to_goals_ratio,discrepancy
2025020001,5.825828925706446,5,82,0,1.1651657851412893,0.8258289257064462
2025020002,6.009619884192944,3,79,0,2.0032066280643144,3.0096198841929436
2025020003,4.753769779577851,5,75,0,0.9507539559155702,0.2462302204221487
2025020004,7.232315281406045,7,82,0,1.0331878973437207,0.23231528140604496
2025020005,6.5043377839028835,4,98,0,1.6260844459757209,2.5043377839028835
2025020006,7.090108701842837,9,99,0,0.7877898557603152,1.909891298157163
2025020007,6.345109656918794,13,86,0,0.4880853582245226,6.654890343081206
2025020008,6.034614748321474,7,83,0,0.8620878211887819,0.9653852516785264
2025020009,5.1468039026949555,4,98,0,1.2867009756737389,1.1468039026949555
2025020010,4.720284150913358,6,69,0,0.7867140251522263,1.2797158490866423
2025020011,5.118284719530493,9,84,0,0.5686983021700548,3.881715280469507
2025020012,4.975340009666979,3,83,0,1.658446669888993,1.9753400096669793
2025020013,8.083945936523378,7,90,0,1.1548494195033396,1.083945936523378
2025020014,5.243124944157898,9,85,0,0.5825694382397665,3.7568750558421016
2025020015,5.515353034250438,5,74,0,1.1030706068500877,0.5153530342504382
2025020016,6.219618307426572,3,96,0,2.073206102475524,3.219618307426572
2025020017,7.276640634052455,9,85,0,0.8085156260058284,1.7233593659475446
2025020018,5.284597837831825,3,90,0,1.7615326126106083,2.284597837831825
2025020019,4.274691065074876,6,74,0,0.7124485108458126,1.725308934925124
2025020020,5.282798854634166,7,82,0,0.7546855506620237,1.7172011453658342
2025020021,5.987655740696937,4,104,0,1.4969139351742342,1.9876557406969368
2025020022,6.2950366388540715,5,89,0,1.2590073277708143,1.2950366388540715
2025020023,6.921406739973463,6,84,0,1.1535677899955772,0.9214067399734631
2025020024,5.750286960974336,4,89,0,1.437571740243584,1.7502869609743357
2025020025,5.564862191211432,9,84,0,0.6183180212457147,3.435137808788568
2025020026,6.104252064455068,8,72,0,0.7630315080568835,1.8957479355449323
2025020027,5.080227165482938,8,73,0,0.6350283956853673,2.9197728345170617
2025020028,7.712784965522587,6,94,0,1.2854641609204311,1.7127849655225873
2025020029,6.694473907351494,7,72,0,0.9563534153359277,0.30552609264850616
2025020030,9.049791522789747,7,101,0,1.2928273603985352,2.0497915227897465
2025020031,6.344481615815312,5,77,0,1.2688963231630623,1.3444816158153117
2025020032,6.2622354128398,5,69,0,1.2524470825679601,1.2622354128398001
2025020033,7.479522922076285,11,111,0,0.6799566292796623,3.520477077923715
2025020034,6.845031357835978,11,97,0,0.6222755779850889,4.154968642164022
2025020035,7.144454570807284,4,79,0,1.786113642701821,3.1444545708072837
2025020036,8.109014654997736,13,96,0,0.623770358076749,4.890985345002264
2025020037,6.432307988172397,3,90,0,2.144102662724132,3.432307988172397
2025020038,5.730696567334235,1,87,0,5.730696567334235,4.730696567334235
2025020039,6.410497904755175,4,96,0,1.6026244761887938,2.410497904755175
2025020040,5.941868983209133,7,95,0,0.8488384261727333,1.0581310167908669
2025020041,5.134456728948862,5,86,0,1.0268913457897724,0.1344567289488623
2025020042,6.136104044504464,7,91,0,0.8765862920720663,0.8638959554955363
2025020043,5.236318578012288,5,81,0,1.0472637156024576,0.23631857801228762
2025020044,6.166799400933087,7,74,0,0.880971342990441,0.8332005990669131
2025020045,6.164328934624791,5,91,0,1.2328657869249582,1.1643289346247911
2025020046,7.1412815800867975,7,96,0,1.0201830828695424,0.14128158008679748
2025020047,6.925153131596744,7,95,0,0.9893075902281063,0.07484686840325594
2025020048,4.802176389377564,4,68,0,1.200544097344391,0.8021763893775642
2025020049,6.57578939339146,11,88,0,0.59779903576286,4.42421060660854
2025020050,4.649155938765034,9,68,0,0.5165728820850037,4.350844061234966
2025020051,4.926865342538804,2,82,0,2.463432671269402,2.926865342538804
2025020052,5.556601234711707,5,76,0,1.1113202469423413,0.5566012347117066
2025020053,5.025464451871812,6,93,0,0.8375774086453021,0.9745355481281877
2025020054,5.179111487232149,7,85,0,0.7398730696045926,1.8208885127678514
2025020055,6.030796918552369,6,91,0,1.0051328197587281,0.03079691855236888
2025020056,6.081540023908019,7,79,0,0.8687914319868598,0.9184599760919809
2025020057,7.308563883882016,12,84,0,0.6090469903235013,4.691436116117984
2025020058,6.468747177161276,5,81,0,1.2937494354322552,1.4687471771612763
2025020059,7.594276846386492,11,86,0,0.6903888042169538,3.4057231536135077
2025020060,7.024548045359552,4,87,0,1.756137011339888,3.024548045359552
2025020061,5.593986600171775,3,83,0,1.8646622000572581,2.5939866001717746
2025020062,6.615186612121761,5,78,0,1.3230373224243521,1.6151866121217608
2025020063,6.3511087079532444,8,98,0,0.7938885884941556,1.6488912920467556
2025020064,5.803155637346208,4,84,0,1.450788909336552,1.803155637346208
2025020065,7.348278474062681,6,91,0,1.2247130790104468,1.3482784740626812
2025020066,3.247533876914531,7,49,0,0.4639334109877901,3.752466123085469
2025020067,6.990494434256107,5,94,0,1.3980988868512214,1.9904944342561066
2025020068,6.856393876485527,8,86,0,0.8570492345606908,1.1436061235144734
2025020069,7.361133369151503,11,93,0,0.6691939426501367,3.638866630848497
2025020070,7.825100815971382,5,80,0,1.5650201631942764,2.825100815971382
2025020071,6.365295174531639,6,81,0,1.0608825290886064,0.3652951745316386
2025020072,7.556736528174952,3,97,0,2.518912176058317,4.556736528174952
2025020073,7.243783400859684,6,84,0,1.2072972334766139,1.2437834008596838
2025020074,9.15753390500322,5,107,0,1.831506781000644,4.15753390500322
2025020075,6.212865982786752,9,77,0,0.6903184425318614,2.7871340172132477
2025020076,6.913306629518047,3,102,0,2.304435543172682,3.913306629518047
2025020077,6.521622160449624,9,79,0,0.7246246844944026,2.478377839550376
2025020078,6.020871930755675,8,77,0,0.7526089913444594,1.9791280692443252
2025020079,5.016809786437079,7,77,0,0.7166871123481542,1.9831902135629207
2025020080,5.299627408385277,7,77,0,0.7570896297693253,1.7003725916147232
2025020081,4.25775538966991,3,73,0,1.4192517965566367,1.25775538966991
2025020082,7.237007233314216,5,90,0,1.4474014466628433,2.237007233314216
2025020083,4.29098347062245,4,60,0,1.0727458676556125,0.2909834706224501
2025020084,8.010055340477265,5,95,0,1.6020110680954531,3.0100553404772654
2025020085,4.889633208047599,5,80,0,0.9779266416095197,0.1103667919524014
2025020086,6.726457663811743,7,96,0,0.9609225234016776,0.27354233618825674
2025020087,5.871050443965942,7,80,0,0.8387214919951346,1.1289495560340583
2025020088,6.561077812919393,3,81,0,2.1870259376397976,3.561077812919393
2025020089,7.258768784813583,7,95,0,1.0369669692590833,0.2587687848135829
2025020090,4.292241203133017,6,70,0,0.7153735338555028,1.7077587968669832
2025020091,7.7256316263228655,3,103,0,2.5752105421076217,4.7256316263228655
2025020092,5.842273178976029,5,72,0,1.168454635795206,0.8422731789760292
2025020093,7.189272886142135,4,95,0,1.7973182215355337,3.1892728861421347
2025020094,5.122724225278944,7,72,0,0.7318177464684206,1.8772757747210562
2025020095,8.50336943846196,6,97,0,1.41722823974366,2.5033694384619594
2025020096,6.262688252609223,3,80,0,2.087562750869741,3.262688252609223
2025020097,4.337573544238694,5,74,0,0.8675147088477388,0.662426455761306
2025020098,6.198160877916962,7,83,0,0.8854515539881375,0.8018391220830381
2025020099,4.454688565339893,5,65,0,0.8909377130679786,0.5453114346601069
2025020100,7.753616062458605,7,92,0,1.1076594374940865,0.7536160624586046
2025020101,8.513420211616904,6,90,0,1.4189033686028172,2.5134202116169035
2025020102,5.855331351049244,5,83,0,1.1710662702098489,0.8553313510492444
2025020103,7.651516732294112,7,81,0,1.0930738188991589,0.6515167322941124
2025020104,4.921008303761482,3,68,0,1.6403361012538273,1.9210083037614822
2025020105,7.536054246127605,7,92,0,1.0765791780182294,0.5360542461276054
2025020106,5.673478246899322,6,82,0,0.9455797078165536,0.3265217531006783
2025020107,6.593472035601735,7,89,0,0.9419245765145335,0.4065279643982649
2025020108,7.389886318240315,5,95,0,1.477977263648063,2.3898863182403147
2025020109,8.091762568801641,6,104,0,1.3486270948002737,2.0917625688016415
2025020110,5.564806389156729,3,84,0,1.854935463052243,2.564806389156729
2025020111,8.538136465707794,12,104,0,0.7115113721423162,3.461863534292206
2025020112,5.6105092307552695,3,74,0,1.87016974358509,2.6105092307552695
2025020113,6.801351785194129,5,94,0,1.3602703570388257,1.8013517851941288
2025020114,7.40432481886819,8,94,0,0.9255406023585238,0.59567518113181
2025020115,8.410260162781924,9,92,0,0.9344733514202138,0.589739837218076
2025020116,5.339314743410796,11,77,0,0.48539224940098147,5.660685256589204
2025020117,5.112348919734359,11,66,0,0.46475899270312354,5.887651080265641
2025020118,5.355793632566929,3,70,0,1.7852645441889763,2.355793632566929
2025020119,5.88919383008033,5,74,0,1.177838766016066,0.8891938300803304
2025020120,4.285436171572655,3,86,0,1.4284787238575518,1.2854361715726554
2025020121,9.571350352838635,8,115,0,1.1964187941048294,1.5713503528386354
2025020122,7.090309847611934,11,86,0,0.6445736225101758,3.909690152388066
2025020123,5.305151492822915,8,90,0,0.6631439366028644,2.6948485071770847
2025020124,5.755642946780426,4,71,0,1.4389107366951066,1.7556429467804264
2025020125,8.897306378465146,6,98,0,1.4828843964108576,2.897306378465146
2025020126,8.346950392471626,8,89,0,1.0433687990589533,0.3469503924716264
2025020127,6.7739516999572515,9,87,0,0.7526612999952502,2.2260483000427485
2025020128,6.8251386801712215,5,83,0,1.3650277360342442,1.8251386801712215
2025020129,7.437205668538809,6,103,0,1.2395342780898015,1.4372056685388088
2025020130,5.590036713052541,3,76,0,1.8633455710175137,2.590036713052541
2025020131,9.202470180112869,8,98,0,1.1503087725141086,1.2024701801128685
2025020132,4.76081848051399,7,71,0,0.6801169257877129,2.23918151948601
2025020133,7.185257900506258,10,82,0,0.7185257900506258,2.814742099493742
2025020134,8.989008265081793,13,110,0,0.691462174237061,4.010991734918207
2025020135,6.4875865038484335,8,73,0,0.8109483129810542,1.5124134961515665
2025020136,7.671129552647471,7,92,0,1.09587565037821,0.6711295526474714
2025020137,8.856764625292271,15,107,0,0.5904509750194847,6.143235374707729
2025020138,7.942197815515101,5,92,0,1.5884395631030201,2.942197815515101
2025020139,5.675904561765492,5,87,0,1.1351809123530985,0.675904561765492
2025020140,5.761745511554182,7,87,0,0.8231065016505974,1.2382544884458184
2025020141,4.47179145924747,3,64,0,1.49059715308249,1.47179145924747
2025020142,7.269807608332485,11,88,0,0.6608916007574986,3.730192391667515
2025020143,7.512762782629579,5,96,0,1.502552556525916,2.5127627826295793
2025020144,4.855192644521594,4,70,0,1.2137981611303985,0.855192644521594
2025020145,7.609981162939221,5,87,0,1.5219962325878442,2.6099811629392207
2025020146,6.300670879427344,6,95,0,1.0501118132378906,0.3006708794273436
2025020147,5.684734957292676,7,85,0,0.8121049938989537,1.315265042707324
2025020148,6.625343941152096,9,79,0,0.7361493267946773,2.374656058847904
2025020149,5.100016650510952,9,84,0,0.5666685167234391,3.899983349489048
2025020150,6.550015424378216,7,93,0,0.935716489196888,0.44998457562178373
2025020151,7.668451585806906,7,89,0,1.095493083686701,0.6684515858069062
2025020152,7.198614730499685,7,106,0,1.0283735329285264,0.1986147304996848
2025020153,7.517738169175573,7,93,0,1.0739625955965104,0.5177381691755727
2025020154,5.947409578599036,7,78,0,0.8496299397998622,1.0525904214009643
2025020155,6.552478881552815,9,84,0,0.7280532090614239,2.4475211184471846
2025020156,7.034434033557773,7,71,0,1.0049191476511103,0.034434033557772636
2025020157,7.184879551175982,7,92,0,1.0264113644537116,0.18487955117598176
2025020158,4.852504248265177,7,69,0,0.693214892609311,2.147495751734823
2025020159,6.214922450948507,1,73,0,6.214922450948507,5.214922450948507
2025020160,4.283755338285118,10,80,0,0.42837553382851185,5.716244661714882
2025020161,6.727999574271962,12,99,0,0.5606666311893301,5.272000425728038
2025020162,6.535717708058655,9,74,0,0.7261908564509617,2.4642822919413447
2025020163,6.711283138371073,2,85,0,3.3556415691855364,4.711283138371073
2025020164,4.037898309994489,7,64,0,0.5768426157134984,2.962101690005511
2025020165,6.682287955190986,7,75,0,0.9546125650272838,0.3177120448090136
2025020166,6.754886471200734,9,88,0,0.750542941244526,2.2451135287992656
2025020167,8.812301099300385,7,101,0,1.2589001570429121,1.8123010993003845
2025020168,6.839928970206529,8,93,0,0.8549911212758161,1.160071029793471
2025020169,6.961785077583045,3,87,0,2.320595025861015,3.9617850775830448
2025020170,5.4316077651456,5,76,0,1.08632155302912,0.43160776514559984
2025020171,9.313706924906,8,99,0,1.16421336561325,1.3137069249060005
2025020172,6.413645829074085,7,92,0,0.916235118439155,0.5863541709259152
2025020173,6.701230444479734,5,89,0,1.3402460888959467,1.7012304444797337
2025020174,7.77781580016017,9,87,0,0.8642017555733522,1.2221841998398304
2025020175,7.2344160210341215,7,97,0,1.0334880030048745,0.2344160210341215
2025020176,5.10314088081941,7,74,0,0.7290201258313443,1.89685911918059
2025020177,10.410629661288112,7,111,0,1.4872328087554447,3.4106296612881124
2025020178,5.373903330240864,6,82,0,0.895650555040144,0.6260966697591357
2025020179,6.486268281005323,4,73,0,1.6215670702513307,2.486268281005323
2025020180,6.942513646092266,7,94,0,0.9917876637274665,0.057486353907734156
2025020181,5.705649851821363,3,81,0,1.9018832839404543,2.705649851821363
2025020182,7.766312438994646,6,90,0,1.2943854064991076,1.766312438994646
2025020183,5.873115432448685,5,85,0,1.1746230864897371,0.8731154324486852
2025020184,5.500135386129841,5,88,0,1.1000270772259682,0.5001353861298412
2025020185,5.630704391980544,7,79,0,0.8043863417115062,1.3692956080194563
2025020186,7.23122591804713,7,100,0,1.0330322740067328,0.2312259180471301
2025020187,5.721374021843076,7,73,0,0.8173391459775823,1.2786259781569242
2025020188,6.07329057296738,7,89,0,0.8676129389953401,0.9267094270326197
2025020189,8.601789236068726,5,100,0,1.720357847213745,3.6017892360687256
2025020190,5.067494492977858,7,92,0,0.7239277847111225,1.9325055070221424
2025020191,5.55906822765246,5,94,0,1.1118136455304921,0.5590682276524603
2025020192,6.6941674700938165,5,87,0,1.3388334940187634,1.6941674700938165
2025020193,4.607016793452203,5,79,0,0.9214033586904407,0.3929832065477967
2025020194,5.094552762340754,6,76,0,0.8490921270567924,0.9054472376592457
2025020195,8.094692864920944,5,86,0,1.6189385729841888,3.094692864920944
2025020196,3.189404468983412,3,62,0,1.0631348229944706,0.1894044689834118
2025020197,8.443202467635274,5,94,0,1.6886404935270547,3.443202467635274
2025020198,6.204602988902479,5,84,0,1.2409205977804958,1.2046029889024794
2025020199,6.25304836127907,7,83,0,0.8932926230398672,0.7469516387209296
2025020200,4.81850121775642,5,72,0,0.963700243551284,0.18149878224357963
2025020201,6.797130659688264,9,91,0,0.7552367399653627,2.202869340311736
2025020202,6.726749313529581,4,78,0,1.6816873283823952,2.726749313529581
2025020203,6.826107608852908,3,81,0,2.2753692029509693,3.826107608852908
2025020204,8.523685805499554,9,95,0,0.9470762006110616,0.4763141945004463
2025020205,7.812852472066879,7,95,0,1.1161217817238398,0.8128524720668793
2025020206,5.9310748227871954,3,88,0,1.9770249409290652,2.9310748227871954
2025020207,8.097286308184266,9,87,0,0.8996984786871407,0.9027136918157339
2025020208,7.984353162813932,5,95,0,1.5968706325627864,2.9843531628139317
2025020209,6.9299833732657135,5,84,0,1.3859966746531427,1.9299833732657135
2025020210,7.030282882042229,1,95,0,7.030282882042229,6.030282882042229
2025020211,7.206459221895784,10,86,0,0.7206459221895785,2.793540778104216
2025020212,5.568423849268584,3,78,0,1.8561412830895279,2.5684238492685836
2025020213,4.356200604699552,7,68,0,0.622314372099936,2.643799395300448
2025020214,6.587954467628151,7,81,0,0.9411363525183073,0.4120455323718488
2025020215,6.998847789131105,6,95,0,1.1664746315218508,0.998847789131105
2025020216,9.28793138731271,7,104,0,1.3268473410446728,2.2879313873127103
2025020217,6.459281113464385,7,81,0,0.9227544447806265,0.5407188865356147
2025020218,5.69203033298254,5,74,0,1.1384060665965081,0.6920303329825401
2025020219,4.628660095855594,3,66,0,1.5428866986185312,1.6286600958555937
2025020220,4.961951596196741,7,67,0,0.7088502280281058,2.038048403803259
2025020221,7.518368945457041,8,93,0,0.9397961181821302,0.48163105454295874
2025020222,7.610252185724676,7,92,0,1.0871788836749536,0.6102521857246757
2025020223,7.0412543322891,4,83,0,1.760313583072275,3.0412543322890997
2025020224,5.342095612548292,12,72,0,0.4451746343790243,6.657904387451708
2025020225,8.888090554624796,9,93,0,0.9875656171805329,0.11190944537520409
2025020226,4.85388401011005,7,69,0,0.6934120014442929,2.1461159898899496
2025020227,6.912426987662911,5,89,0,1.3824853975325824,1.9124269876629114
2025020228,5.365419351495802,7,74,0,0.7664884787851146,1.6345806485041976
2025020229,5.111709474120289,4,80,0,1.2779273685300723,1.111709474120289
2025020230,7.520686439238489,3,83,0,2.506895479746163,4.520686439238489
2025020231,5.287500519189052,4,86,0,1.321875129797263,1.2875005191890523
2025020232,4.81776013225317,5,65,0,0.963552026450634,0.18223986774683
2025020233,4.261570959119126,9,65,0,0.4735078843465696,4.738429040880874
2025020234,8.200330616440624,8,109,0,1.025041327055078,0.200330616440624
2025020235,6.286182043142617,8,76,0,0.7857727553928271,1.7138179568573833
2025020236,4.492190118180588,5,79,0,0.8984380236361176,0.5078098818194121
2025020237,6.638305517844856,5,88,0,1.3276611035689712,1.6383055178448558
2025020238,6.103258609306067,9,88,0,0.678139845478452,2.8967413906939328
2025020239,4.180665945634246,7,75,0,0.5972379922334637,2.819334054365754
2025020240,6.566045121755451,10,80,0,0.656604512175545,3.433954878244549
2025020241,7.841777035035193,7,95,0,1.1202538621478848,0.841777035035193
2025020242,6.886112318374217,7,99,0,0.9837303311963167,0.11388768162578344
2025020243,7.083724359516054,4,89,0,1.7709310898790136,3.0837243595160544
2025020244,6.832551040221006,6,92,0,1.1387585067035009,0.8325510402210057
2025020245,6.134844192303717,5,92,0,1.2269688384607433,1.1348441923037171
2025020246,7.822863722220063,9,88,0,0.8692070802466737,1.1771362777799368
2025020247,8.201243315823376,6,81,0,1.3668738859705627,2.201243315823376
2025020248,5.712846455397084,3,77,0,1.904282151799028,2.7128464553970844
2025020249,4.643960559740663,2,88,0,2.3219802798703313,2.6439605597406626
2025020250,9.406362407375127,9,101,0,1.0451513785972364,0.4063624073751271
2025020251,5.662569100502878,5,89,0,1.1325138201005758,0.6625691005028784
2025020252,7.631569584831595,5,80,0,1.5263139169663191,2.6315695848315954
2025020253,5.49305200856179,9,75,0,0.6103391120624211,3.50694799143821
2025020254,6.2646830240264535,9,81,0,0.6960758915584948,2.7353169759735465
2025020255,5.228270537685603,5,81,0,1.0456541075371206,0.2282705376856029
2025020256,8.519184683915228,8,106,0,1.0648980854894035,0.5191846839152277
2025020257,6.175991566386074,6,85,0,1.0293319277310122,0.17599156638607383
2025020258,5.288836057763547,5,82,0,1.0577672115527093,0.2888360577635467
2025020259,6.511733045335859,5,87,0,1.3023466090671718,1.511733045335859
2025020260,5.316163761774078,5,91,0,1.0632327523548155,0.316163761774078
2025020261,4.933775315526873,3,76,0,1.6445917718422909,1.9337753155268729
2025020262,7.719303117133677,5,96,0,1.5438606234267354,2.719303117133677
2025020263,7.670724325347692,8,94,0,0.9588405406684615,0.3292756746523082
